name,group,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,ID
"TITLE: Optimal sampling for hemicubes WORDS: sample, method, filter, reconstruct, estimate, light, graph, propose, mesh, normal, approach, weight, surface, model, color, use, noise, compute, function, condition",Optimal sampling for hemicubes,0.0232349913794,0,0,0.0846903147802,0.0938345904024,0,0,0.0551385190579,0.0326521060288,0.132411142193,0,0,0.0684476876621,0,0,0,0,0.0236380959624,0.157972674004,0.319905196223,0
"TITLE: Volume rendering of DCT-based compressed 3D scalar data WORDS: visual, data, video, volume, project, object, perform, camera, gpu, ray, depth, distance, scene, volumetric, participate, implement, sample, render, method, track",Volume rendering of DCT-based compressed 3D scalar data,0,0,0,0,0,0.158483775011,0,0.196947978805,0,0.0360438118897,0,0,0,0.210334734601,0,0.0956643660891,0.131622190479,0.0941629168903,0,0.0694231529179,1
"TITLE: Visualization of multidimensional shape and texture features in laser range data using complex-valued Gabor wavelets WORDS: data, field, analysis, set, user, interact, flow, sample, inform, explore, provide, study, differ, method, result, task, time, structure, network, texture",Visualization of multidimensional shape and texture features in laser range data using complex-valued Gabor wavelets,0.0125273357636,0.0705824990882,0.0495871381562,0,0.0533858918376,0.519791645462,0,0,0.104445592592,0,0,0,0,0,0,0.0646669003266,0,0,0,0.119136751766,2
"TITLE: Vision-an architecture for global illumination calculations WORDS: light, visual, perform, data, gpu, color, ray, depth, distance, mesh, implement, dynamic, walk, element, surface, parallel, illuminant, energy, develop, achieve",Vision-an architecture for global illumination calculations,0.0778030750227,0,0,0.220071423853,0.0699130304463,0.0919626760793,0.0336379938615,0.061007953522,0,0,0,0,0,0.230923117477,0.0180451289028,0,0,0.014820790401,0.171773919465,0,3
"TITLE: Visualizing network data WORDS: data, analysis, set, user, graph, inform, explore, provide, study, differ, task, time, paper, network, motion, display, draw, diagram, predict, tree",Visualizing network data,0.0104674048565,0.0153411665549,0,0.0238124930777,0,0.743923526441,0,0,0,0,0,0,0.082570498573,0,0.0658596975549,0.0237069850355,0,0,0.0264234909235,0,4
"TITLE: Real time responsive animation with personality WORDS: simulate, deform, model, body, visual, character, time, contact, data, texture, collision, fluid, sample, method, force, facial, cloth, detect, filter, patch",Real time responsive animation with personality,0.0677791168242,0,0.0604520473192,0.171718797206,0,0.0912632945707,0.342232372109,0,0,0,0,0,0,0.052743632635,0.0106885223852,0.0736034342736,0,0,0.0292616089651,0.0902097392821,5
"TITLE: Quaternion frame approach to streamline visualization WORDS: field, mesh, data, flow, surface, streamline, particle, vector, topology, line, quantitative, analysis, light, boundary, set, point, process, geometric, shape, edge",Quaternion frame approach to streamline visualization,0,0.110539239168,0,0,0.19867883586,0.207302645731,0.0279718383513,0.0195386332755,0.164495456636,0,0.0108604254314,0.0991409764451,0,0.0666050387781,0,0,0,0.018768499781,0.0704011919321,0,6
"TITLE:  WORDS: model, surface, point, layout, motion, display, aesthetic, intersect, rigid, sample, text, stabilize, method, easy, density, solid, parts, filter, number, case",,0.336475759055,0,0,0,0,0,0,0,0,0,0.056671489156,0,0,0,0.103046211985,0.340177966095,0.0340469945724,0,0,0.109547767293,7
"TITLE:  WORDS: field, flow, streamline, particle, vector, line, technique, integral, feature, visual, decomposition, fluid, grid, allow, discrete, simulate, light, color, deform, dynamic",,0,0,0,0,0,0,0.0490037146962,0,0.80053765677,0,0,0,0,0.0542946207844,0,0,0.0198401581898,0,0.0654542840747,0,8
"TITLE: A predictor-corrector technique for visualizing unsteady flow WORDS: motion, display, field, predict, data, subject, flow, diverse, animal, stereoscopic, mesh, series, condition, affect, server, hand, result, client, surface, streamline",A predictor-corrector technique for visualizing unsteady flow,0,0,0,0,0.102191818694,0.195206245044,0.0356751619809,0,0.142603896316,0,0,0,0,0,0.397208725085,0,0,0.0333820376187,0,0.0823286038174,9
