name,group,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,ID
"TITLE: Optimal sampling for hemicubes WORDS: sample, method, filter, reconstruct, estimate, light, graph, propose, mesh, normal, approach, weight, surface, model, color, use, noise, compute, function, condition",Optimal sampling for hemicubes,10,20,20,5,4,20,20,7,8,3,20,20,6,20,20,20,20,9,2,1,1
"TITLE: Volume rendering of DCT-based compressed 3D scalar data WORDS: visual, data, video, volume, project, object, perform, camera, gpu, ray, depth, distance, scene, volumetric, participate, implement, sample, render, method, track",Volume rendering of DCT-based compressed 3D scalar data,20,20,20,20,20,3,20,2,20,8,20,20,20,1,20,5,4,6,20,7,2
"TITLE: Visualization of multidimensional shape and texture features in laser range data using complex-valued Gabor wavelets WORDS: data, field, analysis, set, user, interact, flow, sample, inform, explore, provide, study, differ, method, result, task, time, structure, network, texture",Visualization of multidimensional shape and texture features in laser range data using complex-valued Gabor wavelets,8,4,7,20,6,1,20,20,3,20,20,20,20,20,20,5,20,20,20,2,3
"TITLE: Vision-an architecture for global illumination calculations WORDS: light, visual, perform, data, gpu, color, ray, depth, distance, mesh, implement, dynamic, walk, element, surface, parallel, illuminant, energy, develop, achieve",Vision-an architecture for global illumination calculations,5,20,20,2,6,4,8,7,20,20,20,20,20,1,9,11,20,10,3,20,4
"TITLE: Visualizing network data WORDS: data, analysis, set, user, graph, inform, explore, provide, study, differ, task, time, paper, network, motion, display, draw, diagram, predict, tree",Visualizing network data,8,7,20,5,20,1,20,20,20,20,20,20,2,20,3,6,20,20,4,20,5
"TITLE: Real time responsive animation with personality WORDS: simulate, deform, model, body, visual, character, time, contact, data, texture, collision, fluid, sample, method, force, facial, cloth, detect, filter, patch",Real time responsive animation with personality,6,20,7,2,20,3,1,20,20,20,20,20,20,8,10,5,20,20,9,4,6
"TITLE: Quaternion frame approach to streamline visualization WORDS: field, mesh, data, flow, surface, streamline, particle, vector, topology, line, quantitative, analysis, light, boundary, set, point, process, geometric, shape, edge",Quaternion frame approach to streamline visualization,20,5,20,20,1,2,8,11,3,20,10,4,20,7,20,20,20,9,6,20,7
"TITLE:  WORDS: model, surface, point, layout, motion, display, aesthetic, intersect, rigid, sample, text, stabilize, method, easy, density, solid, parts, filter, number, case",,2,20,20,20,20,20,20,7,20,20,5,20,20,20,4,1,6,20,20,3,8
"TITLE:  WORDS: field, flow, streamline, particle, vector, line, technique, integral, feature, visual, decomposition, fluid, grid, allow, discrete, simulate, light, color, deform, dynamic",,20,20,20,20,20,20,4,20,1,20,20,20,20,3,20,20,5,20,2,20,9
"TITLE: A predictor-corrector technique for visualizing unsteady flow WORDS: motion, display, field, predict, data, subject, flow, diverse, animal, stereoscopic, mesh, series, condition, affect, server, hand, result, client, surface, streamline",A predictor-corrector technique for visualizing unsteady flow,20,20,20,20,4,2,6,20,3,20,20,20,20,20,1,20,20,7,20,5,10
