name,group,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29
"windows, subject, lines, apr, newsgroups, path, organization, would, date, god",D0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98776371308,0,0,0,0,0
"newsgroups, windows, gmt, lines, apr, organization, subject, writes, date, path",D1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.992944038929,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"newsgroups, windows, gmt, lines, apr, organization, subject, writes, date, path",D2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.991666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"organization, date, subject, lines, apr, path, gmt, windows, newsgroups, references",D3,0,0.114131303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.876979808111,0,0,0,3
"god, organization, date, subject, apr, lines, path, gmt, windows, references",D4,0,0,0,0,0,0,0.654079775842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.334939832001,0,0,0,4
"max, god, files, windows, date, subject, a86, newsgroups, one, path",D5,0,0.997358834244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"writes, lines, file, apr, newsgroups, organization, date, path, article, subject",D6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.997322253001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"gmt, file, lines, date, path, apr, max, newsgroups, organization, subject",D7,0,0,0,0,0,0,0,0,0,0,0,0,0.0931919407373,0,0,0,0.474943595753,0,0,0,0,0,0,0,0,0,0,0.123697063366,0.30426349624,0,7
"windows, organization, writes, lines, apr, newsgroups, date, path, mouse, subject",D8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.985128205128,0,0,0,0,0,0,0,8
"file, lines, date, path, max, organization, apr, newsgroups, subject, windows",D9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241558518825,0,0,0.750254346673,0,9
"windows, organization, writes, lines, apr, newsgroups, date, path, mouse, subject",D10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.989716312057,0,0,0,0,0,0,0,10
"windows, path, date, lines, organization, subject, newsgroups, apr, references, gmt",D11,0,0,0,0.98141025641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"file, article, newsgroups, windows, gmt, apr, lines, organization, subject, writes",D12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.808152481731,0,0,0.174877821299,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"jehovah, would, one, max, newsgroups, lines, apr, path, date, organization",D13,0,0,0,0.0111721382552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.830495708357,0,0,0,0,0,0,0,0.150573532698,13
"max, a86, b8f, 1d9, organization, subject, date, lines, apr, gmt",D14,0,0,0,0,0,0.683338413135,0,0,0,0,0,0,0,0,0,0,0,0,0.0967853868046,0,0,0.0964410161235,0,0,0,0,0.120152355654,0,0,0,14
"max, lines, newsgroups, organization, apr, date, path, subject, windows, gmt",D15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.975833333333,15
"file, lines, path, date, max, newsgroups, apr, organization, subject, references",D16,0,0,0,0.40148968772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577298191068,0,16
"windows, subject, lines, apr, newsgroups, path, organization, would, date, god",D17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.992892156863,0,0,0,0,17
"would, max, lines, newsgroups, date, path, subject, writes, one, gmt",D18,0,0,0.985784313725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"god, references, max, lines, newsgroups, organization, apr, date, path, subject",D19,0,0,0,0,0,0,0.839134830349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151714842854,19
"writes, apr, god, newsgroups, article, subject, organization, would, windows, date",D20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.985784313725,0,0,20
"b8f, a86, 1d9, max, giz, lines, newsgroups, apr, date, organization",D21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.685080156744,0,0,0,0,0,0,0,0,0,0.30861353695,21
"would, max, lines, newsgroups, date, path, subject, writes, one, gmt",D22,0,0,0.988065843621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
"windows, path, date, lines, organization, subject, newsgroups, apr, references, gmt",D23,0,0,0,0.984895833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
"path, newsgroups, date, subject, organization, apr, lines, gmt, god, references",D24,0,0,0,0,0,0,0.989716312057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
"windows, writes, know, one, apr, newsgroups, organization, path, gmt, subject",D25,0,0,0,0,0,0,0,0.353789106199,0,0,0,0,0,0,0,0,0.594006754991,0,0,0,0,0,0,0.034557079987,0,0,0,0,0,0,25
"max, lines, newsgroups, organization, apr, date, path, subject, windows, gmt",D26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.986757990868,26
"apr, subject, writes, path, references, max, article, image, newsgroups, lines",D27,0,0,0,0.281534804415,0,0,0,0,0,0,0,0,0,0.133363905729,0,0,0.481665350803,0.100307178522,0,0,0,0,0,0,0,0,0,0,0,0,27
"windows, subject, lines, apr, newsgroups, path, organization, would, date, god",D28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.994717668488,0,0,0,0,28
"windows, organization, writes, lines, apr, newsgroups, date, path, mouse, subject",D29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.994538606403,0,0,0,0,0,0,0,29
"apr, god, lines, path, organization, subject, windows, jesus, date, gmt",D30,0,0,0,0,0,0,0,0,0,0.367004094277,0,0,0,0,0.621181559731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
