name,group,T0,T1,T2,T3,T4,T5,T6,T7,T8,T8,ID
"TITLE: Optimal sampling for hemicubes WORDS: approach, rendering, visualization, method, vector, surface, model, cells, surfaces, flow",Optimal sampling for hemicubes,0.0588849541064,0.0528529350067,0.0252968782047,0.358407157474,0.119997152622,0,0.0758159672148,0.0292712219677,0.102325218852,0.168099960829,0
"TITLE: Volume rendering of DCT-based compressed 3D scalar data WORDS: approach, rendering, visualization, method, vector, surface, model, cells, surfaces, flow",Volume rendering of DCT-based compressed 3D scalar data,0.0598421492855,0.0490561616144,0.031559391514,0.416633397971,0.102223344318,0,0.0602096839178,0.0340846105867,0.0905851002344,0.146095619492,1
"TITLE: Visualization of multidimensional shape and texture features in laser range data using complex-valued Gabor wavelets WORDS: rendering, approach, visualization, method, vector, efficient, surface, model, cells, surfaces",Visualization of multidimensional shape and texture features in laser range data using complex-valued Gabor wavelets,0.074684636264,0.0683642514482,0.0306309706632,0.262829114806,0.175190065129,0,0.0536410699028,0.0343631232801,0.137073727795,0.154450765004,2
"TITLE: Vision-an architecture for global illumination calculations WORDS: rendering, approach, visualization, method, vector, surface, model, cells, surfaces, flow",Vision-an architecture for global illumination calculations,0.0825505777875,0.0472241515782,0.0370547908762,0.311988344866,0.132682966333,0,0.0682864717293,0.0287362125705,0.098428692086,0.183597166709,3
"TITLE: Visualizing network data WORDS: approach, rendering, visualization, method, vector, surface, model, cells, surfaces, flow",Visualizing network data,0.0650744011554,0.063462391293,0.0360306048333,0.34408651321,0.11526135299,0,0.0768504397947,0.0382184770408,0.091597074026,0.161346866029,4
"TITLE: Real time responsive animation with personality WORDS: approach, rendering, visualization, method, vector, surface, model, cells, surfaces, flow",Real time responsive animation with personality,0.0642384620717,0.065170974958,0.027825404704,0.363088185396,0.109646094884,0.0108870234116,0.0679313788696,0.0370531581003,0.112198838948,0.141960478656,5
"TITLE: Quaternion frame approach to streamline visualization WORDS: approach, rendering, visualization, method, vector, efficient, surface, model, cells, surfaces",Quaternion frame approach to streamline visualization,0.0824582570531,0.0611174807038,0.0273878389493,0.352529605736,0.155699317986,0,0.0660434958226,0.0289553979489,0.0704250687052,0.145712942166,6
"TITLE:  WORDS: approach, rendering, visualization, method, vector, surface, model, cells, surfaces, flow",,0.0713606682829,0.0557768554567,0.0301192022382,0.352018055628,0.135693644242,0,0.0588970392225,0.031177715343,0.0828930719325,0.175196339898,7
"TITLE:  WORDS: approach, rendering, visualization, method, vector, efficient, surface, model, cells, surfaces",,0.0696470597747,0.0448056832218,0.0276995695928,0.375353931969,0.14622879585,0,0.0656242687826,0.0376691587272,0.0898549062476,0.133138478694,8
"TITLE: A predictor-corrector technique for visualizing unsteady flow WORDS: approach, rendering, visualization, method, vector, surface, model, cells, surfaces, flow",A predictor-corrector technique for visualizing unsteady flow,0.0787197242893,0.06275306312,0.0248087118047,0.336406583149,0.13044843684,0,0.0646316550602,0.0433710603739,0.108178365236,0.141543711683,9
"TITLE: Grouping volume renderers for enhanced visualization in computational fluid dynamics WORDS: approach, rendering, visualization, method, vector, efficient, surface, model, cells, surfaces",Grouping volume renderers for enhanced visualization in computational fluid dynamics,0.0615847761589,0.0580593765025,0.0311150103216,0.366159066349,0.148007281734,0,0.0574858118246,0.0371088178208,0.0851367358772,0.147503928287,10
