name,group,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,ID
"TITLE: Optimal sampling for hemicubes WORDS: methods, analysis, surfaces, surface, techniques, framework, new, used, proposed, flow, algorithm, applications, rendering, algorithms, space, visual, technique, user, local, efficient",Optimal sampling for hemicubes,0.181791114028,0,0,0,0,0,0,0,0.802954648385,0,0,0,0,0,0,0,0,0,0,0,0
"TITLE: Volume rendering of DCT-based compressed 3D scalar data WORDS: information, rendering, analysis, visual, used, use, model, interactive, different, volume, algorithm, new, design, study, features, set, models, technique, techniques, user",Volume rendering of DCT-based compressed 3D scalar data,0,0.986029411527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"TITLE: Visualization of multidimensional shape and texture features in laser range data using complex-valued Gabor wavelets WORDS: framework, proposed, applications, surface, model, shape, efficient, local, rendering, new, techniques, surfaces, algorithms, modeling, user, structure, time, use, algorithm, space",Visualization of multidimensional shape and texture features in laser range data using complex-valued Gabor wavelets,0,0,0,0,0,0,0,0,0.590217612849,0,0,0.0676213949804,0,0.332716547531,0,0,0,0,0,0,2
"TITLE: Vision-an architecture for global illumination calculations WORDS: model, shape, surfaces, algorithms, modeling, structure, space, used, dynamic, visual, models, methods, rendering, surface, algorithm, user, analysis, volume, time, features",Vision-an architecture for global illumination calculations,0,0,0,0,0,0,0,0,0.089370261688,0,0,0,0,0.796931215513,0,0,0,0,0.103457558735,0,3
"TITLE: Visualizing network data WORDS: rendering, volume, model, algorithm, interactive, methods, used, techniques, image, simulation, noise, quality, field, software, scene, new, surface, problem, visual, provides",Visualizing network data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.986428571063,0,0,0,4
"TITLE: Real time responsive animation with personality WORDS: different, model, interactive, volume, design, features, set, technique, techniques, study, models, algorithm, graph, surface, used, user, information, virtual, rendering, field",Real time responsive animation with personality,0,0.8810405689,0,0.111928180951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"TITLE: Quaternion frame approach to streamline visualization WORDS: mesh, surface, video, images, rendering, time, set, geometry, sets, meshes, points, techniques, vector, image, large, novel, algorithms, space, field, algorithm",Quaternion frame approach to streamline visualization,0,0,0,0,0,0.670739702119,0,0,0,0.317721836117,0,0,0,0,0,0,0,0,0,0,6
"TITLE:  WORDS: new, algorithm, rendering, techniques, user, flow, technique, used, set, surface, visual, image, novel, virtual, motion, information, analysis, model, methods, real",,0,0,0,0,0,0,0,0,0.0896181892681,0,0,0.894018174096,0,0,0,0,0,0,0,0,7
"TITLE:  WORDS: fields, algorithm, rendering, interactive, surfaces, simulation, points, visual, field, multiple, allows, novel, different, new, surface, used, technique, techniques, use, study",,0.572671020898,0,0,0,0,0,0,0,0,0.0435132007083,0,0,0,0,0.371496937589,0,0,0,0,0,8
"TITLE: A predictor-corrector technique for visualizing unsteady flow WORDS: algorithm, new, rendering, flow, techniques, user, virtual, novel, used, set, surface, visual, technique, image, motion, analysis, information, real, model, methods",A predictor-corrector technique for visualizing unsteady flow,0,0,0,0,0,0,0,0,0,0,0,0.982727272373,0,0,0,0,0,0,0,0,9
"TITLE: Grouping volume renderers for enhanced visualization in computational fluid dynamics WORDS: rendering, used, techniques, field, objects, new, model, technique, large, object, information, virtual, methods, time, image, user, light, algorithm, display, texture",Grouping volume renderers for enhanced visualization in computational fluid dynamics,0,0,0.207872849774,0,0,0,0,0,0,0,0.141909188047,0,0,0,0,0,0,0.64227403678,0,0,10
"TITLE: Visualization of geometric algorithms WORDS: algorithm, used, model, methods, image, rendering, visual, function, surface, shape, sets, information, domain, images, set, different, techniques, novel, proposed, efficient",Visualization of geometric algorithms,0,0.255745298666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.731211222829,11
"TITLE:  WORDS: vector, image, space, algorithms, field, algorithm, performance, users, problem, virtual, volume, new, user, different, interaction, motion, analysis, used, methods, use",,0,0,0,0,0,0,0,0,0,0.989893616811,0,0,0,0,0,0,0,0,0,0,12
"TITLE: Optical models for direct volume rendering WORDS: users, analysis, time, mesh, rendering, volume, structure, large, error, model, algorithm, techniques, used, simulation, interactive, methods, image, user, scene, visual",Optical models for direct volume rendering,0,0,0,0,0,0,0.567148963521,0,0,0,0.147864904388,0,0,0,0,0,0.271704881814,0,0,0,13
