name,group,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,ID
"TITLE: Optimal sampling for hemicubes WORDS: methods, analysis, surfaces, surface, techniques, framework, new, used, proposed, flow, algorithm, applications, rendering, algorithms, space, visual, technique, user, local, efficient",Optimal sampling for hemicubes,2,20,20,20,20,20,20,20,1,20,20,20,20,20,20,20,20,20,20,20,1
"TITLE: Volume rendering of DCT-based compressed 3D scalar data WORDS: information, rendering, analysis, visual, used, use, model, interactive, different, volume, algorithm, new, design, study, features, set, models, technique, techniques, user",Volume rendering of DCT-based compressed 3D scalar data,20,1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,2
"TITLE: Visualization of multidimensional shape and texture features in laser range data using complex-valued Gabor wavelets WORDS: framework, proposed, applications, surface, model, shape, efficient, local, rendering, new, techniques, surfaces, algorithms, modeling, user, structure, time, use, algorithm, space",Visualization of multidimensional shape and texture features in laser range data using complex-valued Gabor wavelets,20,20,20,20,20,20,20,20,1,20,20,3,20,2,20,20,20,20,20,20,3
"TITLE: Vision-an architecture for global illumination calculations WORDS: model, shape, surfaces, algorithms, modeling, structure, space, used, dynamic, visual, models, methods, rendering, surface, algorithm, user, analysis, volume, time, features",Vision-an architecture for global illumination calculations,20,20,20,20,20,20,20,20,3,20,20,20,20,1,20,20,20,20,2,20,4
"TITLE: Visualizing network data WORDS: rendering, volume, model, algorithm, interactive, methods, used, techniques, image, simulation, noise, quality, field, software, scene, new, surface, problem, visual, provides",Visualizing network data,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1,20,20,20,5
"TITLE: Real time responsive animation with personality WORDS: different, model, interactive, volume, design, features, set, technique, techniques, study, models, algorithm, graph, surface, used, user, information, virtual, rendering, field",Real time responsive animation with personality,20,1,20,2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,6
"TITLE: Quaternion frame approach to streamline visualization WORDS: mesh, surface, video, images, rendering, time, set, geometry, sets, meshes, points, techniques, vector, image, large, novel, algorithms, space, field, algorithm",Quaternion frame approach to streamline visualization,20,20,20,20,20,1,20,20,20,2,20,20,20,20,20,20,20,20,20,20,7
"TITLE:  WORDS: new, algorithm, rendering, techniques, user, flow, technique, used, set, surface, visual, image, novel, virtual, motion, information, analysis, model, methods, real",,20,20,20,20,20,20,20,20,2,20,20,1,20,20,20,20,20,20,20,20,8
"TITLE:  WORDS: fields, algorithm, rendering, interactive, surfaces, simulation, points, visual, field, multiple, allows, novel, different, new, surface, used, technique, techniques, use, study",,1,20,20,20,20,20,20,20,20,3,20,20,20,20,2,20,20,20,20,20,9
"TITLE: A predictor-corrector technique for visualizing unsteady flow WORDS: algorithm, new, rendering, flow, techniques, user, virtual, novel, used, set, surface, visual, technique, image, motion, analysis, information, real, model, methods",A predictor-corrector technique for visualizing unsteady flow,20,20,20,20,20,20,20,20,20,20,20,1,20,20,20,20,20,20,20,20,10
"TITLE: Grouping volume renderers for enhanced visualization in computational fluid dynamics WORDS: rendering, used, techniques, field, objects, new, model, technique, large, object, information, virtual, methods, time, image, user, light, algorithm, display, texture",Grouping volume renderers for enhanced visualization in computational fluid dynamics,20,20,2,20,20,20,20,20,20,20,3,20,20,20,20,20,20,1,20,20,11
"TITLE: Visualization of geometric algorithms WORDS: algorithm, used, model, methods, image, rendering, visual, function, surface, shape, sets, information, domain, images, set, different, techniques, novel, proposed, efficient",Visualization of geometric algorithms,20,2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1,12
