name,group,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,ID
"TITLE: A Partition-Based Framework for Building and Validating Regression Models WORDS: users, use, design, visualizations, interactive, volume, different, study, technique, time",A Partition-Based Framework for Building and Validating Regression Models,9,8,6,7,2,3,4,1,5,10,1
"TITLE: Decision Exploration Lab: A Visual Analytics Solution for Decision Management WORDS: new, novel, used, space, large, users, use, design, visualizations, interactive",Decision Exploration Lab: A Visual Analytics Solution for Decision Management,2,1,6,5,7,3,9,8,10,4,2
"TITLE: Vis4Heritage: Visual Analytics Approach on Grotto Wall Painting Degradations WORDS: space, large, used, new, novel, flow, tasks, users, use, design",Vis4Heritage: Visual Analytics Approach on Grotto Wall Painting Degradations,3,9,2,5,7,8,1,10,6,4,3
"TITLE: UTOPIAN: User-Driven Topic Modeling Based on Interactive Nonnegative Matrix Factorization WORDS: users, use, design, visualizations, interactive, new, different, study, technique, time",UTOPIAN: User-Driven Topic Modeling Based on Interactive Nonnegative Matrix Factorization,6,10,4,5,8,2,3,1,7,9,4
"TITLE: HierarchicalTopics: Visually Exploring Large Text Collections Using Topic Hierarchies WORDS: space, large, new, users, use, design, visualizations, interactive, volume, novel",HierarchicalTopics: Visually Exploring Large Text Collections Using Topic Hierarchies,4,10,8,6,9,3,2,7,1,5,5
"TITLE: Visual Analysis of Topic Competition on Social Media WORDS: new, users, use, design, visualizations, interactive, novel, different, study, technique",Visual Analysis of Topic Competition on Social Media,4,7,6,1,2,9,5,10,3,8,6
"TITLE: ScatterBlogs2: Real-Time Monitoring of Microblog Messages through User-Guided filtering WORDS: users, use, design, visualizations, interactive, new, used, volume, different, study",ScatterBlogs2: Real-Time Monitoring of Microblog Messages through User-Guided filtering,3,4,6,7,9,8,2,10,5,1,7
"TITLE: Visual Analytics for Multimodal Social Network Analysis: A Design Study with Social Scientists WORDS: users, use, design, visualizations, interactive, new, flow, tasks, different, study",Visual Analytics for Multimodal Social Network Analysis: A Design Study with Social Scientists,5,1,6,3,10,8,7,4,2,9,8
"TITLE: Explainers: Expert Explorations with Crafted Projections WORDS: new, users, use, design, visualizations, interactive, used, novel, different, study",Explainers: Expert Explorations with Crafted Projections,1,3,9,7,4,10,6,8,5,2,9
"TITLE: Semantics of Directly Manipulating Spatializations WORDS: used, volume, users, use, design, visualizations, interactive, new, different, study",Semantics of Directly Manipulating Spatializations,3,10,2,6,5,7,9,4,8,1,10
"TITLE: SketchPadN-D: WYDIWYG Sculpting and Editing in High-Dimensional Space WORDS: users, use, design, visualizations, interactive, different, study, technique, time, method",SketchPadN-D: WYDIWYG Sculpting and Editing in High-Dimensional Space,4,5,6,2,8,10,3,1,9,7,11
"TITLE: Visual Analysis of Higher-Order Conjunctive Relationships in Multidimensional Data Using a Hypergraph Query System WORDS: users, use, design, visualizations, interactive, volume, flow, tasks, new, different",Visual Analysis of Higher-Order Conjunctive Relationships in Multidimensional Data Using a Hypergraph Query System,4,1,7,5,8,6,9,10,3,2,12
"TITLE: Interactive Exploration of Implicit and Explicit Relations in Faceted Datasets WORDS: used, volume, new, flow, tasks, space, large, users, use, design",Interactive Exploration of Implicit and Explicit Relations in Faceted Datasets,2,5,8,10,9,6,1,7,3,4,13
"TITLE: VAICo: Visual Analysis for Image Comparison WORDS: users, use, design, visualizations, interactive, different, study, technique, time, method",VAICo: Visual Analysis for Image Comparison,3,5,4,6,9,8,7,2,10,1,14
"TITLE: Open-Box Spectral Clustering: Applications to Medical Image Analysis WORDS: users, use, design, visualizations, interactive, space, large, used, volume, different",Open-Box Spectral Clustering: Applications to Medical Image Analysis,5,3,4,2,8,1,6,7,10,9,15
